Title,Description,Rating Value,Vote Count,Content Rating,Genre,Duration,IMDb Link
The Shawshank Redemption,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",9.3,3097047,12,Drama,2 Hours 22 Minutes,https://www.imdb.com/title/tt0111161/
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2,2158594,16,"Crime, Drama",2 Hours 55 Minutes,https://www.imdb.com/title/tt0068646/
The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",9.1,3072078,16,"Action, Crime, Drama",2 Hours 32 Minutes,https://www.imdb.com/title/tt0468569/
The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",9.0,1450868,12,"Crime, Drama",3 Hours 22 Minutes,https://www.imdb.com/title/tt0071562/
12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,9.0,947631,Unrated,"Crime, Drama",1 Hour 36 Minutes,https://www.imdb.com/title/tt0050083/
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9.0,2106122,12,"Adventure, Drama, Fantasy",3 Hours 21 Minutes,https://www.imdb.com/title/tt0167260/
Schindler&apos;s List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9.0,1544821,12,"Biography, Drama, History",3 Hours 15 Minutes,https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.9,2139637,12,"Adventure, Drama, Fantasy",2 Hours 58 Minutes,https://www.imdb.com/title/tt0120737/
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.8,2368107,16,"Crime, Drama",2 Hours 34 Minutes,https://www.imdb.com/title/tt0110912/
"Il buono, il brutto, il cattivo",A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,8.8,867511,12,"Adventure, Drama, Western",2 Hours 41 Minutes,https://www.imdb.com/title/tt0060196/
Forrest Gump,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",8.8,2418434,12,"Drama, Romance",2 Hours 22 Minutes,https://www.imdb.com/title/tt0109830/
The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.",8.8,1899979,12,"Adventure, Drama, Fantasy",2 Hours 59 Minutes,https://www.imdb.com/title/tt0167261/
Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,8.8,2513376,16,"Crime, Drama, Thriller",2 Hours 19 Minutes,https://www.imdb.com/title/tt0137523/
Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,2728959,12,"Action, Adventure, Sci-Fi",2 Hours 28 Minutes,https://www.imdb.com/title/tt1375666/
Star Wars: Episode V - The Empire Strikes Back,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",8.7,1464545,12,"Action, Adventure, Fantasy",2 Hours 4 Minutes,https://www.imdb.com/title/tt0080684/
The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",8.7,2186014,16,"Action, Sci-Fi",2 Hours 16 Minutes,https://www.imdb.com/title/tt0133093/
GoodFellas,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",8.7,1348056,16,"Biography, Crime, Drama",2 Hours 25 Minutes,https://www.imdb.com/title/tt0099685/
Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7,2403681,12,"Adventure, Drama, Sci-Fi",2 Hours 49 Minutes,https://www.imdb.com/title/tt0816692/
One Flew Over the Cuckoo&apos;s Nest,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",8.7,1130806,12,Drama,2 Hours 13 Minutes,https://www.imdb.com/title/tt0073486/
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,1948061,16,"Crime, Drama, Mystery",2 Hours 7 Minutes,https://www.imdb.com/title/tt0114369/
It&apos;s a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,8.6,534105,6,"Drama, Family, Fantasy",2 Hours 10 Minutes,https://www.imdb.com/title/tt0038650/
The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,1661720,16,"Crime, Drama, Horror",1 Hour 58 Minutes,https://www.imdb.com/title/tt0102926/
Shichinin no samurai,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",8.6,390384,12,"Action, Drama",3 Hours 27 Minutes,https://www.imdb.com/title/tt0047478/
Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",8.6,1592070,16,"Drama, War",2 Hours 49 Minutes,https://www.imdb.com/title/tt0120815/
The Green Mile,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,8.6,1510579,16,"Crime, Drama, Fantasy",3 Hours 9 Minutes,https://www.imdb.com/title/tt0120689/
Cidade de Deus,"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin.",8.6,848694,16,"Crime, Drama",2 Hours 10 Minutes,https://www.imdb.com/title/tt0317248/
La vita è bella,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",8.6,789622,AL,"Comedy, Drama, Romance",1 Hour 56 Minutes,https://www.imdb.com/title/tt0118799/
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",8.6,1250238,16,"Action, Adventure, Sci-Fi",2 Hours 17 Minutes,https://www.imdb.com/title/tt0103064/
Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire&apos;s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",8.6,1531081,AL,"Action, Adventure, Fantasy",2 Hours 1 Minute,https://www.imdb.com/title/tt0076759/
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",8.5,1401239,6,"Adventure, Comedy, Sci-Fi",1 Hour 56 Minutes,https://www.imdb.com/title/tt0088763/
Sen to Chihiro no kamikakushi,"During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",8.6,929727,6,"Animation, Adventure, Family",2 Hours 4 Minutes,https://www.imdb.com/title/tt0245429/
The Pianist,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",8.5,983010,16,"Biography, Drama, Music",2 Hours 30 Minutes,https://www.imdb.com/title/tt0253474/
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,1792453,16,"Action, Adventure, Drama",2 Hours 35 Minutes,https://www.imdb.com/title/tt0172495/
Gisaengchung,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,8.5,1098683,16,"Drama, Thriller",2 Hours 12 Minutes,https://www.imdb.com/title/tt6751668/
Psycho,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,8.5,762805,12,"Drama, Horror, Mystery",1 Hour 49 Minutes,https://www.imdb.com/title/tt0054215/
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,1221676,AL,"Animation, Adventure, Drama",1 Hour 28 Minutes,https://www.imdb.com/title/tt0110357/
Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II.,8.5,361335,6,"Animation, Drama, War",1 Hour 28 Minutes,https://www.imdb.com/title/tt0095327/
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8.5,1510628,16,"Crime, Drama, Thriller",2 Hours 31 Minutes,https://www.imdb.com/title/tt0407887/
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,8.5,1098832,12,"Drama, Music",1 Hour 46 Minutes,https://www.imdb.com/title/tt2582802/
Seppuku,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.",8.6,82905,16,"Drama, Mystery",2 Hours 13 Minutes,https://www.imdb.com/title/tt0056058/
The Prestige,Rival 19th-century magicians engage in a bitter battle for trade secrets.,8.5,1539540,12,"Drama, Mystery, Sci-Fi",2 Hours 10 Minutes,https://www.imdb.com/title/tt0482571/
American History X,A white supremacist is released from prison a changed man and hopes to prevent his younger brother from following in his footsteps.,8.5,1244699,16,"Crime, Drama",1 Hour 59 Minutes,https://www.imdb.com/title/tt0120586/
Léon,An Italian hit man protects a New York orphan.,8.5,1318882,16,"Action, Crime, Drama",1 Hour 50 Minutes,https://www.imdb.com/title/tt0110413/
